n_partitions time stdev median mad
12 0.46882078647613523 0.05685317696567966 0.4719651937484741 0.04138684272766113
14 0.4014723300933838 0.04572450096966092 0.37843990325927734 0.01947927474975586
16 0.3634632706642151 0.08203577060209338 0.3528062105178833 0.014405012130737305
18 0.3083540081977844 0.045298463920450484 0.29633843898773193 0.0071260929107666016
20 0.31993969678878786 0.05624452978194288 0.30596280097961426 0.01697993278503418
22 0.2841765880584717 0.01464215898773986 0.2838677167892456 0.00797581672668457
24 0.35030885934829714 0.016706161762055426 0.3459925651550293 0.010563492774963379
26 0.3141316294670105 0.021941229143925427 0.31620991230010986 0.018747687339782715
28 0.3124216556549072 0.014492669019994821 0.3105602264404297 0.009772419929504395
30 0.41997069120407104 0.014346146504861337 0.4186774492263794 0.008753418922424316
32 0.43110315799713134 0.018019404865905423 0.4266338348388672 0.006764411926269531
34 0.5210645914077758 0.02315821053080078 0.5148124694824219 0.005397677421569824
36 0.44223430156707766 0.017800631298804215 0.43760406970977783 0.008781671524047852
38 0.37600340843200686 0.02275584332162513 0.3709045648574829 0.014250040054321289
40 0.33839777708053587 0.022089377092962926 0.33426880836486816 0.009339451789855957
44 0.3692543268203735 0.023221042081506178 0.3804246187210083 0.014419317245483398
46 0.3055330038070679 0.02838302227826208 0.29987192153930664 0.009778022766113281
48 0.2949531078338623 0.010619634200658692 0.2915186882019043 0.007866144180297852
50 0.30032851696014407 0.02964588779693847 0.28792834281921387 0.011883139610290527
52 0.32218730449676514 0.013214208138536914 0.32067716121673584 0.00880742073059082
54 0.33033123016357424 0.018424327361421463 0.32656991481781006 0.012501001358032227
56 0.3029452085494995 0.008943527029306963 0.3047175407409668 0.0054891109466552734
58 0.30453636646270754 0.009804392903774271 0.3034179210662842 0.007043361663818359
60 0.2993404626846313 0.022603311795541103 0.29570233821868896 0.013391494750976562
62 0.3192310333251953 0.049832496822970515 0.304407000541687 0.008442521095275879
64 0.28657691478729247 0.011485863079278447 0.28638768196105957 0.010151386260986328
66 0.30760884284973145 0.02562230263201686 0.30642592906951904 0.014885902404785156
68 0.3000241994857788 0.018100760370903704 0.2973194122314453 0.010295867919921875
70 0.2831138610839844 0.009385217964809468 0.2829326391220093 0.008045315742492676
72 0.29551095962524415 0.014844969628856125 0.2958376407623291 0.011689424514770508
74 0.298336124420166 0.009323382315527925 0.2993830442428589 0.005597949028015137
76 0.3072695016860962 0.013610424222823702 0.3075125217437744 0.005940556526184082
78 0.35191805362701417 0.08998606305640273 0.3206827640533447 0.0058324337005615234
80 0.30652503967285155 0.01178976456711449 0.30866754055023193 0.009343266487121582
82 0.3559539556503296 0.011331695094392242 0.35300934314727783 0.00614619255065918
100 0.3522756099700928 0.018598490497323074 0.3535189628601074 0.009804010391235352
