n_partitions time std median mad
12 4.819161701202392 0.5221075701886628 4.717505693435669 0.1132286787033081
14 4.19534432888031 0.47446844198407273 3.986519694328308 0.089699387550354
16 3.527276074886322 0.21599581028656742 3.4557219743728638 0.13017594814300537
18 3.176687681674957 0.30659645638550426 3.047441005706787 0.12133193016052246
20 2.7771989345550536 0.39975929737507404 2.6382198333740234 0.03834033012390137
22 4.059565651416778 0.3981889463728899 4.0050249099731445 0.17960619926452637
24 3.4993165373802184 0.5994483041769627 3.4972951412200928 0.1642996072769165
26 3.2483747839927672 0.3673405516147772 3.3148202896118164 0.20545411109924316
28 3.1193607568740847 0.3765332965785702 3.0248621702194214 0.12241184711456299
30 3.1624909162521364 0.18383671659955558 3.148002862930298 0.10054707527160645
32 3.120584523677826 0.3841079708726374 2.9651325941085815 0.07388806343078613
34 3.1911967277526854 0.4348929832988677 3.0778344869613647 0.3079642057418823
36 2.945339834690094 0.3898799895157827 2.726123332977295 0.09867799282073975
38 2.587647259235382 0.15961808527606533 2.5453978776931763 0.08868968486785889
40 2.4408788323402404 0.19253184968328022 2.389554262161255 0.02143096923828125
44 2.996726727485657 0.1357893765181543 2.981364369392395 0.06358170509338379
46 2.9242039918899536 0.16746527027679636 2.8523507118225098 0.09670853614807129
48 2.86163170337677 0.3179494540462698 2.719679594039917 0.07993602752685547
50 2.790988063812256 0.2883582693578408 2.66745662689209 0.23250210285186768
52 3.0326619863510134 0.15534356136405866 3.0153037309646606 0.10201501846313477
54 2.890944314002991 0.21166430118995327 2.881095767021179 0.06091427803039551
56 2.8771595478057863 0.10984394356086553 2.849285125732422 0.0788799524307251
58 2.6490854978561402 0.17477597337365625 2.73423969745636 0.0724484920501709
60 2.6299890279769897 0.17648972806395533 2.6937583684921265 0.09979164600372314
62 2.153164029121399 0.10552922243382731 2.1624773740768433 0.028879642486572266
64 2.594883394241333 0.1294789669917786 2.6084017753601074 0.04421651363372803
66 2.678334045410156 0.1624370423623992 2.6368446350097656 0.10658562183380127
68 2.5180917501449587 0.17013501808734843 2.4912761449813843 0.11492788791656494
70 2.4107253551483154 0.08066280850162788 2.4105818271636963 0.06256067752838135
72 2.403744602203369 0.1622823169481932 2.323923945426941 0.04494345188140869
74 2.4726032972335816 0.12100592365617718 2.503513813018799 0.08127188682556152
76 2.6065552711486815 0.2706975624179549 2.616808533668518 0.1404247283935547
78 2.373103952407837 0.09546108431198971 2.3506171703338623 0.05415666103363037
80 2.4806190729141235 0.16787486691842476 2.4849231243133545 0.1513824462890625
82 2.564640164375305 0.18287772530804866 2.496528744697571 0.1033250093460083
100 2.4980874061584473 0.13414960923245062 2.4541176557540894 0.08937966823577881
