n_partitions time stdev median mad
12 2.3020018935203552 0.03462620040719677 2.3008506298065186 0.029456496238708496
14 1.9680842161178589 0.030574341281821845 1.977988362312317 0.022508621215820312
16 1.6898958683013916 0.06309500275351253 1.7118139266967773 0.02454841136932373
18 1.5090069890022277 0.018137787461934052 1.508190631866455 0.013233423233032227
20 1.312071144580841 0.02869510581171701 1.3012536764144897 0.018595337867736816
22 2.119487237930298 0.21666791826814383 1.9964643716812134 0.039908766746520996
24 1.7879239201545716 0.06806030611522683 1.77986478805542 0.03116631507873535
26 1.5567065954208374 0.06638121343503149 1.5675313472747803 0.01544952392578125
28 1.6424567341804504 0.16649646759691908 1.5530346632003784 0.03228342533111572
30 1.6182477831840516 0.09049754842183122 1.5924955606460571 0.019773364067077637
32 1.5656880855560302 0.028113082977990037 1.5721580982208252 0.01905655860900879
34 1.8103847980499268 0.10629829601113015 1.773132562637329 0.042618751525878906
36 1.435892915725708 0.1865795788334175 1.3936392068862915 0.016306400299072266
38 1.3176021933555604 0.04169614247907725 1.3006014823913574 0.013057589530944824
40 1.254344630241394 0.06852988966930244 1.2347097396850586 0.012577652931213379
44 1.5242589950561523 0.09162678094312061 1.4956510066986084 0.021578431129455566
46 1.501905131340027 0.03156437121422242 1.505772352218628 0.01684093475341797
48 1.4025521278381348 0.01609942449498489 1.395545482635498 0.00650632381439209
50 1.4854385137557984 0.0737710365789236 1.4525774717330933 0.022739291191101074
52 1.7128130197525024 0.0318774025662051 1.717328667640686 0.01609015464782715
54 1.5419548511505128 0.02883334952017995 1.5407884120941162 0.019623875617980957
56 1.5512787342071532 0.07265956820609566 1.5620626211166382 0.052420973777770996
58 1.4021971702575684 0.03715583246667822 1.402665615081787 0.0299379825592041
60 1.515733814239502 0.06730199994268325 1.489447832107544 0.02470076084136963
62 1.1545166969299316 0.05727973805879842 1.1388441324234009 0.030462026596069336
64 1.4002302646636964 0.1111006028006021 1.3512630462646484 0.017128825187683105
66 1.395751142501831 0.09464452529696375 1.3743476867675781 0.08032357692718506
68 1.3074687719345093 0.12009036261994534 1.2764112949371338 0.02577531337738037
70 1.3029884576797486 0.15444086109428964 1.2524150609970093 0.014094710350036621
72 1.2662338018417358 0.1151569860848926 1.2386806011199951 0.03580784797668457
74 1.373410940170288 0.1608490625249056 1.325371503829956 0.038242220878601074
76 1.3834877014160156 0.09803143861053336 1.3247709274291992 0.021275043487548828
78 1.3801382541656495 0.13878777952330681 1.322015404701233 0.02998495101928711
80 1.416396927833557 0.06247092763453635 1.4232933521270752 0.05212688446044922
82 1.503167200088501 0.2346095802756469 1.4208043813705444 0.0358959436416626
100 1.4903424024581908 0.07970355964561734 1.508394479751587 0.017348527908325195
